ID,NameEn,Name
5014,Our Unsung Heroes,穿越时空的夙愿
5015,The Heart Of The Problem,燃烧吧高吉
5016,Darkwing Dragon,漆黑的巨龙
5017,The Resonant,于里昂热的秘策
5018,Raising The Sword,为了更强
5019,The Orphans And The Broken Blade,遥远的憧憬
5020,Our Compromise,再次相见
5021,Blood Dragoon,红血之龙骑士
5022,When Clans Collide,影隐忍法贴
5023,Interdimensional Rift,时空狭缝外缘
5024,Return Of The Bull,英雄归来
5025,Emissary Of The Dawn,曙光微明
10001,Basic Training: Enemy Parties,完成集团战训练！
10002,Under The Armor,讨伐彷徨死灵！
10003,Basic Training: Enemy Strongholds,突破所有关门，讨伐最深处的敌人！
10004,Hero On The Half Shell,捕获金币龟！
10005,Pulling Poison Posies,驱除剧毒妖花！
10006,Stinging Back,消灭恶徒团伙寄生蜂团！
10007,All's Well That Ends In The Well,讨伐梦幻之布拉奇希奥！
10008,Flicking Sticks And Taking Names,击溃哥布林炸弹军团！
10009,More Than A Feeler,讨伐污染源头魔界花！
10010,Annoy The Void,讨伐坑道中出现的妖异！
10011,Shadow And Claw,注意无敌的眷属，讨伐大型妖异！
10012,Long Live The Queen,讨伐爆弹怪的女王！
10013,Ward Up,歼灭特殊阵型的妖异！
10014,Solemn Trinity,制止三方混战的巨人族，守住遗物！
15001,Avoid Area Of Effect Attacks,躲避范围攻击
15002,Execute A Combo To Increase Enmity,掌握仇恨连击
15003,Execute A Combo In Battle,控制敌人的仇恨
15004,Accrue Enmity From Multiple Targets,控制多个敌人的仇恨
15005,Engage Multiple Targets,实战控制多个敌人的仇恨
15006,Execute A Ranged Attack To Increase Enmity,控制远处敌人的仇恨
15007,Engage Enemy Reinforcements,留心增援的敌人
15008,Assist Allies In Defeating A Target,配合防护职业打倒单个敌人
15009,Defeat An Occupied Target,配合防护职业打倒多个敌人
15010,Avoid Engaged Targets,躲避范围攻击的同时进行战斗
15011,Engage Enemy Reinforcements,留心增援的敌人
15012,Interact With The Battlefield,灵活运用场地机关
15013,Heal An Ally,治疗防护职业
15014,Heal Multiple Allies,治疗小队队员
15015,Avoid Engaged Targets,躲避范围攻击的同时进行战斗
15016,Final Exercise,最终训练
20001,The Bowl Of Embers,伊弗利特讨伐战
20002,The Navel,泰坦讨伐战
20003,The Howling Eye,迦楼罗讨伐战
20004,The Bowl Of Embers (Hard),伊弗利特歼灭战
20005,The Navel (Hard),泰坦歼灭战
20006,The Howling Eye (Hard),迦楼罗歼灭战
20007,Cape Westwind,里塔提恩强攻战
20008,The Bowl Of Embers (Extreme),伊弗利特歼殛战
20009,The Navel (Extreme),泰坦歼殛战
20010,The Howling Eye (Extreme),迦楼罗歼殛战
20011,Thornmarch (Hard),莫古力贤王歼灭战
20012,Thornmarch (Extreme),莫古力贤王歼殛战
20013,The Minstrel's Ballad: Ultima's Bane,究极神兵破坏作战
20014,Special Event I,活动挑战1
20015,Special Event II,活动挑战2
20016,Special Event III,活动挑战3
20017,The Whorleater (Hard),利维亚桑歼灭战
20018,The Whorleater (Extreme),利维亚桑歼殛战
20019,A Relic Reborn: The Chimera,死化奇美拉讨伐战
20020,A Relic Reborn: The Hydra,海德拉讨伐战
20021,Battle On The Big Bridge,大桥上的决斗
20022,The Striking Tree (Hard),拉姆歼灭战
20023,The Striking Tree (Extreme),拉姆歼殛战
20024,Akh Afah Amphitheatre (Hard),希瓦歼灭战
20025,Akh Afah Amphitheatre (Extreme),希瓦歼殛战
20026,The Dragon's Neck,艾玛吉娜杯斗技大会决赛
20027,Urth's Fount,奥丁歼灭战
20028,The Steps Of Faith,皇都伊修加德保卫战
20029,The Chrysalis,那布里亚勒斯讨伐战
20030,Battle In The Big Keep,无限城的死斗
20031,Thok Ast Thok (Hard),罗波那歼灭战
20032,Thok Ast Thok (Extreme),罗波那歼殛战
20033,The Limitless Blue (Hard),俾斯麦歼灭战
20034,The Limitless Blue (Extreme),俾斯麦歼殛战
20035,The Singularity Reactor,圆桌骑士歼灭战
20036,The Minstrel's Ballad: Thordan's Reign,圆桌骑士幻想歼灭战
20037,Containment Bay S1T7,萨菲洛特歼灭战
20038,Containment Bay S1T7 (Extreme),萨菲洛特歼殛战
20039,The Final Steps Of Faith,尼德霍格征龙战
20040,The Minstrel's Ballad: Nidhogg's Rage,尼德霍格传奇征龙战
20041,Containment Bay P1T6,索菲娅歼灭战
20042,Containment Bay P1T6 (Extreme),索菲娅歼殛战
20043,Containment Bay Z1T9,祖尔宛歼灭战
20044,Containment Bay Z1T9 (Extreme),祖尔宛歼殛战
20045,The Royal Menagerie,神龙歼灭战
20046,The Pool Of Tribute,须佐之男歼灭战
20047,The Pool Of Tribute (Extreme),须佐之男歼殛战
20048,Emanation,吉祥天女歼灭战
20049,Emanation (Extreme),吉祥天女歼殛战
20050,The Minstrel's Ballad: Shinryu's Domain,神龙梦幻歼灭战
20051,The Jade Stoa,白虎镇魂战
20052,The Jade Stoa (Extreme),白虎诗魂战
20055,Castrum Fluminis,帝国河畔堡
20056,The Minstrel's Ballad: Tsukuyomi's Pain,*4.3月神*
25001,The Haunted Manor,亡灵府邸闹鬼庄园
25002,The Valentione's Ceremony,良缘仪式
30001,The Labyrinth Of The Ancients,水晶塔 古代人迷宫
30002,The Binding Coil Of Bahamut - Turn 1,巴哈姆特大迷宫 邂逅之章1
30003,The Binding Coil Of Bahamut - Turn 2,巴哈姆特大迷宫 邂逅之章2
30004,The Binding Coil Of Bahamut - Turn 3,巴哈姆特大迷宫 邂逅之章3
30005,The Binding Coil Of Bahamut - Turn 4,巴哈姆特大迷宫 邂逅之章4
30006,The Binding Coil Of Bahamut - Turn 5,巴哈姆特大迷宫 邂逅之章5
30007,The Second Coil Of Bahamut - Turn 1,巴哈姆特大迷宫 入侵之章1
30008,The Second Coil Of Bahamut - Turn 2,巴哈姆特大迷宫 入侵之章2
30009,The Second Coil Of Bahamut - Turn 3,巴哈姆特大迷宫 入侵之章3
30010,The Second Coil Of Bahamut - Turn 4,巴哈姆特大迷宫 入侵之章4
30011,Syrcus Tower,水晶塔 希尔科斯塔
30012,The Second Coil Of Bahamut (Savage) - Turn 1,巴哈姆特零式大迷宫 入侵之章1
30013,The Second Coil Of Bahamut (Savage) - Turn 2,巴哈姆特零式大迷宫 入侵之章2
30014,The Second Coil Of Bahamut (Savage) - Turn 3,巴哈姆特零式大迷宫 入侵之章3
30015,The Second Coil Of Bahamut (Savage) - Turn 4,巴哈姆特零式大迷宫 入侵之章4
30016,The Final Coil Of Bahamut - Turn 1,巴哈姆特大迷宫 真源之章1
30017,The Final Coil Of Bahamut - Turn 2,巴哈姆特大迷宫 真源之章2
30018,The Final Coil Of Bahamut - Turn 3,巴哈姆特大迷宫 真源之章3
30019,The Final Coil Of Bahamut - Turn 4,巴哈姆特大迷宫 真源之章4
30020,The World Of Darkness,水晶塔 暗之世界
30021,Alexander - The Fist Of The Father,亚历山大机神城 启动之章1
30022,Alexander - The Cuff Of The Father,亚历山大机神城 启动之章2
30023,Alexander - The Arm Of The Father,亚历山大机神城 启动之章3
30024,Alexander - The Burden Of The Father,亚历山大机神城 启动之章4
30025,Alexander - The Fist Of The Father (Savage),亚历山大零式机神城 启动之章1
30026,Alexander - The Cuff Of The Father (Savage),亚历山大零式机神城 启动之章2
30027,Alexander - The Arm Of The Father (Savage),亚历山大零式机神城 启动之章3
30028,Alexander - The Burden Of The Father (Savage),亚历山大零式机神城 启动之章4
30029,The Void Ark,魔航船虚无方舟
30030,Alexander - The Fist Of The Son,亚历山大机神城 律动之章1
30031,Alexander - The Cuff Of The Son,亚历山大机神城 律动之章2
30032,Alexander - The Arm Of The Son,亚历山大机神城 律动之章3
30033,Alexander - The Burden Of The Son,亚历山大机神城 律动之章4
30034,Alexander - The Fist Of The Son (Savage),亚历山大零式机神城 律动之章1
30035,Alexander - The Cuff Of The Son (Savage),亚历山大零式机神城 律动之章2
30036,Alexander - The Arm Of The Son (Savage),亚历山大零式机神城 律动之章3
30037,Alexander - The Burden Of The Son (Savage),亚历山大零式机神城 律动之章4
30038,The Weeping City Of Mhach,禁忌城邦玛哈
30039,Alexander - The Eyes Of The Creator,亚历山大机神城 天动之章1
30040,Alexander - The Breath Of The Creator,亚历山大机神城 天动之章2
30041,Alexander - The Heart Of The Creator,亚历山大机神城 天动之章3
30042,Alexander - The Soul Of The Creator,亚历山大机神城 天动之章4
30043,Alexander - The Eyes Of The Creator (Savage),亚历山大零式机神城 天动之章1
30044,Alexander - The Breath Of The Creator (Savage),亚历山大零式机神城 天动之章2
30045,Alexander - The Heart Of The Creator (Savage),亚历山大零式机神城 天动之章3
30046,Alexander - The Soul Of The Creator (Savage),亚历山大零式机神城 天动之章4
30047,Dun Scaith,影之国
30049,Deltascape V1.0,欧米茄时空狭缝 德尔塔幻境1
30050,Deltascape V2.0,欧米茄时空狭缝 德尔塔幻境2
30051,Deltascape V3.0,欧米茄时空狭缝 德尔塔幻境3
30052,Deltascape V4.0,欧米茄时空狭缝 德尔塔幻境4
30053,Deltascape V1.0 (Savage),欧米茄零式时空狭缝 德尔塔幻境1
30054,Deltascape V2.0 (Savage),欧米茄零式时空狭缝 德尔塔幻境2
30055,Deltascape V3.0 (Savage),欧米茄零式时空狭缝 德尔塔幻境3
30056,Deltascape V4.0 (Savage),欧米茄零式时空狭缝 德尔塔幻境4
30057,The Unending Coil Of Bahamut (Ultimate),巴哈姆特绝境战
30058,The Royal City Of Rabanastre,失落之都拉巴纳斯塔
30059,Sigmascape V1.0,欧米茄时空狭缝 西格玛幻境1
30060,Sigmascape V2.0,欧米茄时空狭缝 西格玛幻境2
30061,Sigmascape V3.0,欧米茄时空狭缝 西格玛幻境3
30062,Sigmascape V4.0,欧米茄时空狭缝 西格玛幻境4
30063,Sigmascape V1.0 (Savage),欧米茄零式时空狭缝 西格玛幻境1
30064,Sigmascape V2.0 (Savage),欧米茄零式时空狭缝 西格玛幻境2
30065,Sigmascape V3.0 (Savage),欧米茄零式时空狭缝 西格玛幻境3
30066,Sigmascape V4.0 (Savage),欧米茄零式时空狭缝 西格玛幻境4
30067,The Weapon's Refrain (Ultimate),*究极神兵绝境战*
30068,The Ridorana Lighthouse,*4.3 24人本*
40001,The Fold,群狼困斗
40008,The Feast (4 On 4 - Training),群狼盛宴 (4对4 / 练习赛)
40010,The Feast (4 On 4 - Ranked),群狼盛宴 (4对4 / 段位赛)
40012,The Feast (4 on 4 - Light Party),★群狼盛宴 (4对4 / 固定队专用)
40014,The Feast (Custom Match - Feasting Grounds),群狼盛宴 (狼狱演习场：自定赛)
40016,The Feast (4 On 4 - Training),群狼盛宴 (4对4 / 练习赛)
40018,The Feast (4 On 4 - Ranked),群狼盛宴 (4对4 / 段位赛)
40021,The Feast (Custom Match - Lichenweed),群狼盛宴 (地衣宫演习场：自定赛)
40022,The Feast (Team Ranked),群狼盛宴 (战队段位赛)
40023,The Feast (Ranked),群狼盛宴 (段位赛)
40024,The Feast (Training),群狼盛宴 (练习赛)
40025,The Feast (Custom Match - Crystal Tower),群狼盛宴 (水晶塔演习场：自定赛)
40026,The Feast (Team Custom Match - Crystal Tower),群狼盛宴 (水晶塔演习场：战队自定赛)
50001,The Borderland Ruins (Secure),周边遗迹群 (阵地战)
50004,Seal Rock (Seize),尘封秘岩 (争夺战)
50005,The Fields Of Glory (Shatter),荣誉野 (碎冰战)
51001,Astragalos,距骨研究所 (机动战)
55001,The Aquapolis,水城宝物库
55002,The Lost Canals Of Uznair,运河宝物库
55003,The Hidden Canals Of Uznair,运河宝物库深层
60001,The Palace Of The Dead (Floors 1-10),死者宫殿 地下1～10层
60002,The Palace Of The Dead (Floors 11-20),死者宫殿 地下11～20层
60003,The Palace Of The Dead (Floors 21-30),死者宫殿 地下21～30层
60004,The Palace Of The Dead (Floors 31-40),死者宫殿 地下31～40层
60005,The Palace Of The Dead (Floors 41-50),死者宫殿 地下41～50层
60006,The Palace Of The Dead (Floors 51-60),死者宫殿 地下51～60层
60007,The Palace Of The Dead (Floors 61-70),死者宫殿 地下61～70层
60008,The Palace Of The Dead (Floors 71-80),死者宫殿 地下71～80层
60009,The Palace Of The Dead (Floors 81-90),死者宫殿 地下81～90层
60010,The Palace Of The Dead (Floors 91-100),死者宫殿 地下91～100层
60011,The Palace Of The Dead (Floors 101-110),死者宫殿 地下101～110层
60012,The Palace Of The Dead (Floors 111-120),死者宫殿 地下111～120层
60013,The Palace Of The Dead (Floors 121-130),死者宫殿 地下121～130层
60014,The Palace Of The Dead (Floors 131-140),死者宫殿 地下131～140层
60015,The Palace Of The Dead (Floors 141-150),死者宫殿 地下141～150层
60016,The Palace Of The Dead (Floors 151-160),死者宫殿 地下151～160层
60017,The Palace Of The Dead (Floors 161-170),死者宫殿 地下161～170层
60018,The Palace Of The Dead (Floors 171-180),死者宫殿 地下171～180层
60019,The Palace Of The Dead (Floors 181-190),死者宫殿 地下181～190层
60020,The Palace Of The Dead (Floors 191-200),死者宫殿 地下191～200层
60021,Heaven-on-High (Floors 1-10),Heaven-on-High (Floors 1-10)
60022,Heaven-on-High (Floors 11-20),Heaven-on-High (Floors 11-20)
60023,Heaven-on-High (Floors 21-30),Heaven-on-High (Floors 21-30)
60024,Heaven-on-High (Floors 31-40),Heaven-on-High (Floors 31-40)
60025,Heaven-on-High (Floors 41-50),Heaven-on-High (Floors 41-50)
60026,Heaven-on-High (Floors 51-60),Heaven-on-High (Floors 51-60)
60027,Heaven-on-High (Floors 61-70),Heaven-on-High (Floors 61-70)
60028,Heaven-on-High (Floors 71-80),Heaven-on-High (Floors 71-80)
60029,Heaven-on-High (Floors 81-90),Heaven-on-High (Floors 81-90)
60030,Heaven-on-High (Floors 91-100),Heaven-on-High (Floors 91-100)
