ID,NameEn,Name
5010,The Face Of True Evil,The Face Of True Evil
5011,Matsuba Mayhem,Matsuba Mayhem
5012,The Battle On Bekko,The Battle On Bekko
5013,Curious Gorge Meets His Match,Curious Gorge Meets His Match
5014,Our Unsung Heroes,Our Unsung Heroes
5015,The Heart Of The Problem,The Heart Of The Problem
5016,Darkwing Dragon,Darkwing Dragon
5017,The Resonant,The Resonant
5018,Raising The Sword,Raising The Sword
5019,The Orphans And The Broken Blade,The Orphans And The Broken Blade
5020,Our Compromise,Our Compromise
5021,Blood Dragoon,Blood Dragoon
5022,When Clans Collide,When Clans Collide
5023,Interdimensional Rift,Interdimensional Rift
5024,Return Of The Bull,Return Of The Bull
5025,Emissary Of The Dawn,Emissary Of The Dawn
10001,Basic Training: Enemy Parties,Basic Training: Enemy Parties
10002,Under The Armor,Under The Armor
10003,Basic Training: Enemy Strongholds,Basic Training: Enemy Strongholds
10004,Hero On The Half Shell,Hero On The Half Shell
10005,Pulling Poison Posies,Pulling Poison Posies
10006,Stinging Back,Stinging Back
10007,All's Well That Ends In The Well,All's Well That Ends In The Well
10008,Flicking Sticks And Taking Names,Flicking Sticks And Taking Names
10009,More Than A Feeler,More Than A Feeler
10010,Annoy The Void,Annoy The Void
10011,Shadow And Claw,Shadow And Claw
10012,Long Live The Queen,Long Live The Queen
10013,Ward Up,Ward Up
10014,Solemn Trinity,Solemn Trinity
15001,Avoid Area Of Effect Attacks,Avoid Area Of Effect Attacks
15002,Execute A Combo To Increase Enmity,Execute A Combo To Increase Enmity
15003,Execute A Combo In Battle,Execute A Combo In Battle
15004,Accrue Enmity From Multiple Targets,Accrue Enmity From Multiple Targets
15005,Engage Multiple Targets,Engage Multiple Targets
15006,Execute A Ranged Attack To Increase Enmity,Execute A Ranged Attack To Increase Enmity
15007,Engage Enemy Reinforcements,Engage Enemy Reinforcements
15008,Assist Allies In Defeating A Target,Assist Allies In Defeating A Target
15009,Defeat An Occupied Target,Defeat An Occupied Target
15010,Avoid Engaged Targets,Avoid Engaged Targets
15011,Engage Enemy Reinforcements,Engage Enemy Reinforcements
15012,Interact With The Battlefield,Interact With The Battlefield
15013,Heal An Ally,Heal An Ally
15014,Heal Multiple Allies,Heal Multiple Allies
15015,Avoid Engaged Targets,Avoid Engaged Targets
15016,Final Exercise,Final Exercise
20001,The Bowl Of Embers,The Bowl Of Embers
20002,The Navel,The Navel
20003,The Howling Eye,The Howling Eye
20004,The Bowl Of Embers (Hard),The Bowl Of Embers (Hard)
20005,The Navel (Hard),The Navel (Hard)
20006,The Howling Eye (Hard),The Howling Eye (Hard)
20007,Cape Westwind,Cape Westwind
20008,The Bowl Of Embers (Extreme),The Bowl Of Embers (Extreme)
20009,The Navel (Extreme),The Navel (Extreme)
20010,The Howling Eye (Extreme),The Howling Eye (Extreme)
20011,Thornmarch (Hard),Thornmarch (Hard)
20012,Thornmarch (Extreme),Thornmarch (Extreme)
20013,The Minstrel's Ballad: Ultima's Bane,The Minstrel's Ballad: Ultima's Bane
20014,Special Event I,Special Event I
20015,Special Event II,Special Event II
20016,Special Event III,Special Event III
20017,The Whorleater (Hard),The Whorleater (Hard)
20018,The Whorleater (Extreme),The Whorleater (Extreme)
20019,A Relic Reborn: The Chimera,A Relic Reborn: The Chimera
20020,A Relic Reborn: The Hydra,A Relic Reborn: The Hydra
20021,Battle On The Big Bridge,Battle On The Big Bridge
20022,The Striking Tree (Hard),The Striking Tree (Hard)
20023,The Striking Tree (Extreme),The Striking Tree (Extreme)
20024,Akh Afah Amphitheatre (Hard),Akh Afah Amphitheatre (Hard)
20025,Akh Afah Amphitheatre (Extreme),Akh Afah Amphitheatre (Extreme)
20026,The Dragon's Neck,The Dragon's Neck
20027,Urth's Fount,Urth's Fount
20028,The Steps Of Faith,The Steps Of Faith
20029,The Chrysalis,The Chrysalis
20030,Battle In The Big Keep,Battle In The Big Keep
20031,Thok Ast Thok (Hard),Thok Ast Thok (Hard)
20032,Thok Ast Thok (Extreme),Thok Ast Thok (Extreme)
20033,The Limitless Blue (Hard),The Limitless Blue (Hard)
20034,The Limitless Blue (Extreme),The Limitless Blue (Extreme)
20035,The Singularity Reactor,The Singularity Reactor
20036,The Minstrel's Ballad: Thordan's Reign,The Minstrel's Ballad: Thordan's Reign
20037,Containment Bay S1T7,Containment Bay S1T7
20038,Containment Bay S1T7 (Extreme),Containment Bay S1T7 (Extreme)
20039,The Final Steps Of Faith,The Final Steps Of Faith
20040,The Minstrel's Ballad: Nidhogg's Rage,The Minstrel's Ballad: Nidhogg's Rage
20041,Containment Bay P1T6,Containment Bay P1T6
20042,Containment Bay P1T6 (Extreme),Containment Bay P1T6 (Extreme)
20043,Containment Bay Z1T9,Containment Bay Z1T9
20044,Containment Bay Z1T9 (Extreme),Containment Bay Z1T9 (Extreme)
20045,The Royal Menagerie,The Royal Menagerie
20046,The Pool Of Tribute,The Pool Of Tribute
20047,The Pool Of Tribute (Extreme),The Pool Of Tribute (Extreme)
20048,Emanation,Emanation
20049,Emanation (Extreme),Emanation (Extreme)
20050,The Minstrel's Ballad: Shinryu's Domain,The Minstrel's Ballad: Shinryu's Domain
20051,The Jade Stoa,The Jade Stoa
20052,The Jade Stoa (Extreme),The Jade Stoa (Extreme)
20055,Castrum Fluminis,Castrum Fluminis
20056,The Minstrel's Ballad: Tsukuyomi's Pain,The Minstrel's Ballad: Tsukuyomi's Pain
25001,The Haunted Manor,The Haunted Manor
25002,The Valentione's Ceremony,The Valentione's Ceremony
30001,The Labyrinth Of The Ancients,The Labyrinth Of The Ancients
30002,The Binding Coil Of Bahamut - Turn 1,The Binding Coil Of Bahamut - Turn 1
30003,The Binding Coil Of Bahamut - Turn 2,The Binding Coil Of Bahamut - Turn 2
30004,The Binding Coil Of Bahamut - Turn 3,The Binding Coil Of Bahamut - Turn 3
30005,The Binding Coil Of Bahamut - Turn 4,The Binding Coil Of Bahamut - Turn 4
30006,The Binding Coil Of Bahamut - Turn 5,The Binding Coil Of Bahamut - Turn 5
30007,The Second Coil Of Bahamut - Turn 1,The Second Coil Of Bahamut - Turn 1
30008,The Second Coil Of Bahamut - Turn 2,The Second Coil Of Bahamut - Turn 2
30009,The Second Coil Of Bahamut - Turn 3,The Second Coil Of Bahamut - Turn 3
30010,The Second Coil Of Bahamut - Turn 4,The Second Coil Of Bahamut - Turn 4
30011,Syrcus Tower,Syrcus Tower
30012,The Second Coil Of Bahamut (Savage) - Turn 1,The Second Coil Of Bahamut (Savage) - Turn 1
30013,The Second Coil Of Bahamut (Savage) - Turn 2,The Second Coil Of Bahamut (Savage) - Turn 2
30014,The Second Coil Of Bahamut (Savage) - Turn 3,The Second Coil Of Bahamut (Savage) - Turn 3
30015,The Second Coil Of Bahamut (Savage) - Turn 4,The Second Coil Of Bahamut (Savage) - Turn 4
30016,The Final Coil Of Bahamut - Turn 1,The Final Coil Of Bahamut - Turn 1
30017,The Final Coil Of Bahamut - Turn 2,The Final Coil Of Bahamut - Turn 2
30018,The Final Coil Of Bahamut - Turn 3,The Final Coil Of Bahamut - Turn 3
30019,The Final Coil Of Bahamut - Turn 4,The Final Coil Of Bahamut - Turn 4
30020,The World Of Darkness,The World Of Darkness
30021,Alexander - The Fist Of The Father,Alexander - The Fist Of The Father
30022,Alexander - The Cuff Of The Father,Alexander - The Cuff Of The Father
30023,Alexander - The Arm Of The Father,Alexander - The Arm Of The Father
30024,Alexander - The Burden Of The Father,Alexander - The Burden Of The Father
30025,Alexander - The Fist Of The Father (Savage),Alexander - The Fist Of The Father (Savage)
30026,Alexander - The Cuff Of The Father (Savage),Alexander - The Cuff Of The Father (Savage)
30027,Alexander - The Arm Of The Father (Savage),Alexander - The Arm Of The Father (Savage)
30028,Alexander - The Burden Of The Father (Savage),Alexander - The Burden Of The Father (Savage)
30029,The Void Ark,The Void Ark
30030,Alexander - The Fist Of The Son,Alexander - The Fist Of The Son
30031,Alexander - The Cuff Of The Son,Alexander - The Cuff Of The Son
30032,Alexander - The Arm Of The Son,Alexander - The Arm Of The Son
30033,Alexander - The Burden Of The Son,Alexander - The Burden Of The Son
30034,Alexander - The Fist Of The Son (Savage),Alexander - The Fist Of The Son (Savage)
30035,Alexander - The Cuff Of The Son (Savage),Alexander - The Cuff Of The Son (Savage)
30036,Alexander - The Arm Of The Son (Savage),Alexander - The Arm Of The Son (Savage)
30037,Alexander - The Burden Of The Son (Savage),Alexander - The Burden Of The Son (Savage)
30038,The Weeping City Of Mhach,The Weeping City Of Mhach
30039,Alexander - The Eyes Of The Creator,Alexander - The Eyes Of The Creator
30040,Alexander - The Breath Of The Creator,Alexander - The Breath Of The Creator
30041,Alexander - The Heart Of The Creator,Alexander - The Heart Of The Creator
30042,Alexander - The Soul Of The Creator,Alexander - The Soul Of The Creator
30043,Alexander - The Eyes Of The Creator (Savage),Alexander - The Eyes Of The Creator (Savage)
30044,Alexander - The Breath Of The Creator (Savage),Alexander - The Breath Of The Creator (Savage)
30045,Alexander - The Heart Of The Creator (Savage),Alexander - The Heart Of The Creator (Savage)
30046,Alexander - The Soul Of The Creator (Savage),Alexander - The Soul Of The Creator (Savage)
30047,Dun Scaith,Dun Scaith
30049,Deltascape V1.0,Deltascape V1.0
30050,Deltascape V2.0,Deltascape V2.0
30051,Deltascape V3.0,Deltascape V3.0
30052,Deltascape V4.0,Deltascape V4.0
30053,Deltascape V1.0 (Savage),Deltascape V1.0 (Savage)
30054,Deltascape V2.0 (Savage),Deltascape V2.0 (Savage)
30055,Deltascape V3.0 (Savage),Deltascape V3.0 (Savage)
30056,Deltascape V4.0 (Savage),Deltascape V4.0 (Savage)
30057,The Unending Coil Of Bahamut (Ultimate),The Unending Coil Of Bahamut (Ultimate)
30058,The Royal City Of Rabanastre,The Royal City Of Rabanastre
30059,Sigmascape V1.0,Sigmascape V1.0
30060,Sigmascape V2.0,Sigmascape V2.0
30061,Sigmascape V3.0,Sigmascape V3.0
30062,Sigmascape V4.0,Sigmascape V4.0
30063,Sigmascape V1.0 (Savage),Sigmascape V1.0 (Savage)
30064,Sigmascape V2.0 (Savage),Sigmascape V2.0 (Savage)
30065,Sigmascape V3.0 (Savage),Sigmascape V3.0 (Savage)
30066,Sigmascape V4.0 (Savage),Sigmascape V4.0 (Savage)
30067,The Weapon's Refrain (Ultimate),The Weapon's Refrain (Ultimate)
30068,The Ridorana Lighthouse,The Ridorana Lighthouse
40001,The Fold,The Fold
40008,The Feast (4 On 4 - Training),The Feast (4 On 4 - Training)
40010,The Feast (4 On 4 - Ranked),The Feast (4 On 4 - Ranked)
40012,★The Feast (4 On 4 - Light Party),★The Feast (4 On 4 - Light Party)
40014,The Feast (Custom Match - Feasting Grounds),The Feast (Custom Match - Feasting Grounds)
40016,The Feast (4 On 4 - Training),The Feast (4 On 4 - Training)
40018,The Feast (4 On 4 - Ranked),The Feast (4 On 4 - Ranked)
40021,The Feast (Custom Match - Lichenweed),The Feast (Custom Match - Lichenweed)
40022,The Feast (Team Ranked),The Feast (Team Ranked)
40023,The Feast (Ranked),The Feast (Ranked)
40024,The Feast (Training),The Feast (Training)
40025,The Feast (Custom Match - Crystal Tower),The Feast (Custom Match - Crystal Tower)
40026,The Feast (Team Custom Match - Crystal Tower),The Feast (Team Custom Match - Crystal Tower)
50001,The Borderland Ruins (Secure),The Borderland Ruins (Secure)
50004,Seal Rock (Seize),Seal Rock (Seize)
50005,The Fields Of Glory (Shatter),The Fields Of Glory (Shatter)
51001,Astragalos,Astragalos
55001,The Aquapolis,The Aquapolis
55002,The Lost Canals Of Uznair,The Lost Canals Of Uznair
55003,The Hidden Canals Of Uznair,The Hidden Canals Of Uznair
60001,The Palace Of The Dead (Floors 1-10),The Palace Of The Dead (Floors 1-10)
60002,The Palace Of The Dead (Floors 11-20),The Palace Of The Dead (Floors 11-20)
60003,The Palace Of The Dead (Floors 21-30),The Palace Of The Dead (Floors 21-30)
60004,The Palace Of The Dead (Floors 31-40),The Palace Of The Dead (Floors 31-40)
60005,The Palace Of The Dead (Floors 41-50),The Palace Of The Dead (Floors 41-50)
60006,The Palace Of The Dead (Floors 51-60),The Palace Of The Dead (Floors 51-60)
60007,The Palace Of The Dead (Floors 61-70),The Palace Of The Dead (Floors 61-70)
60008,The Palace Of The Dead (Floors 71-80),The Palace Of The Dead (Floors 71-80)
60009,The Palace Of The Dead (Floors 81-90),The Palace Of The Dead (Floors 81-90)
60010,The Palace Of The Dead (Floors 91-100),The Palace Of The Dead (Floors 91-100)
60011,The Palace Of The Dead (Floors 101-110),The Palace Of The Dead (Floors 101-110)
60012,The Palace Of The Dead (Floors 111-120),The Palace Of The Dead (Floors 111-120)
60013,The Palace Of The Dead (Floors 121-130),The Palace Of The Dead (Floors 121-130)
60014,The Palace Of The Dead (Floors 131-140),The Palace Of The Dead (Floors 131-140)
60015,The Palace Of The Dead (Floors 141-150),The Palace Of The Dead (Floors 141-150)
60016,The Palace Of The Dead (Floors 151-160),The Palace Of The Dead (Floors 151-160)
60017,The Palace Of The Dead (Floors 161-170),The Palace Of The Dead (Floors 161-170)
60018,The Palace Of The Dead (Floors 171-180),The Palace Of The Dead (Floors 171-180)
60019,The Palace Of The Dead (Floors 181-190),The Palace Of The Dead (Floors 181-190)
60020,The Palace Of The Dead (Floors 191-200),The Palace Of The Dead (Floors 191-200)
60021,Heaven-on-High (Floors 1-10),Heaven-on-High (Floors 1-10)
60022,Heaven-on-High (Floors 11-20),Heaven-on-High (Floors 11-20)
60023,Heaven-on-High (Floors 21-30),Heaven-on-High (Floors 21-30)
60024,Heaven-on-High (Floors 31-40),Heaven-on-High (Floors 31-40)
60025,Heaven-on-High (Floors 41-50),Heaven-on-High (Floors 41-50)
60026,Heaven-on-High (Floors 51-60),Heaven-on-High (Floors 51-60)
60027,Heaven-on-High (Floors 61-70),Heaven-on-High (Floors 61-70)
60028,Heaven-on-High (Floors 71-80),Heaven-on-High (Floors 71-80)
60029,Heaven-on-High (Floors 81-90),Heaven-on-High (Floors 81-90)
60030,Heaven-on-High (Floors 91-100),Heaven-on-High (Floors 91-100)
