key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
21,"InstanceContentType#2",0,90,False,,"music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d710/dunwil1d710",4569373,21,"Colosseum#0",False,"","","BNpcBase#1197","This way lies the first stage! By way of a warm-up, your opponents will be beasts and mammets!","Run, my pretties, lest you feel the searing kiss of my magicks!",21,0,0,50,0,52393,0,20,0,0,14858,22886,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,0,50,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
22,"InstanceContentType#2",0,90,False,,"music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d510/dunfst1d510",4574827,22,"Colosseum#0",False,"","","BNpcBase#2564","Clear Halcyon Court","My long slumber...hath weakened me...",20,0,0,50,0,54930,0,20,0,0,15492,23943,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,80,50,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
23,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Lim_06.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d510/dunsea1d510",4685110,23,"Colosseum#0",False,"","","BNpcBase#0","Defeat the sifakas","Dismember the arms and tentacles",23,0,0,60,0,52984,0,25,0,0,15182,23239,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,0,55,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
24,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Gri_07.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d610/dunfst1d610",4660222,24,"Colosseum#0",False,"","","BNpcBase#0","Clear the interring chamber","Aaaaaaaaah!",24,0,0,60,0,44620,0,25,0,0,13090,19753,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,68,55,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
25,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Rade_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1d210/dunroc1d210",4616677,25,"Colosseum#0",False,"","","BNpcBase#0","Slay Gorynich","...D-Down to the last man?
We have failed...",25,0,0,60,0,49267,0,25,0,0,14252,21690,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,15,55,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
26,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Uru_07.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunwil/dunwil1d810/dunwil1d810",4877226,26,"Colosseum#0",False,"","","BNpcBase#0","Find a sun sphere","Rumble...rumble...",28,0,0,70,0,60845,0,35,0,0,17322,26619,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,75,60,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
27,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Ish_04.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunroc/dunroc1d310/dunroc1d310",4725496,27,"Colosseum#0",False,"","","BNpcBase#0","Tiny Key","Defeat Fenrir",26,0,0,70,0,48676,0,35,0,0,14280,21548,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,74,60,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
28,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Lim_07.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d710/dunsea1d710",4878743,28,"Colosseum#0",False,"","","BNpcBase#0","Defeat Karlabos","H-How the hells did I miss!? That's <Emphasis>balls</Emphasis>, I tell ye!",27,0,0,70,0,45634,0,35,0,0,13521,20282,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,7,60,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
29,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Gri_08.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunfst/dunfst1d710/dunfst1d710",5018469,29,"Colosseum#0",False,"","","BNpcBase#0","Defeat Anchag","5 seconds to Crash Down...",31,0,0,80,0,63719,0,50,0,0,18218,27922,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,10,65,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
30,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Lim_08.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunsea/dunsea1d810/dunsea1d810",4898011,30,"Colosseum#0",False,"","","BNpcBase#0","Save the fleeing tonberries","Sick ones make sickness, Brother!
<Emphasis>Ehehehe, so badly will they ache</Emphasis>!",30,0,0,80,0,56577,0,50,0,0,16431,24945,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,3,65,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
31,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_DravaniaL_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dundra/dundra2d310/dundra2d310",5330512,31,"Colosseum#0",False,"","","BNpcBase#3930","Defeat the demon tome","Argh, oil everywhere! You shall pay dearly, accursed mortals! ",44,6000,51000,0,0,177497,1368576,0,0,0,45693,68540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570240,,46,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
32,"InstanceContentType#2",0,90,False,"music/ffxiv/BGM_Dungeon_Mor_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ffxiv/dunlak/dunlak1d110/dunlak1d110",5073636,32,"Colosseum#0",False,"","","BNpcBase#0","Clear the <Emphasis>Agrius</Emphasis> hull","Heh heh heh. So thou art gifted...",29,0,0,80,0,67015,0,50,0,0,19041,29296,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,278877,,101,65,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
33,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_Abaracia_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunabr/dunabr2d210/dunabr2d210",5614685,33,"Colosseum#0",False,"","","BNpcBase#3740","Thunder Eggs","The clouds come, and the skies darken...
No... This cannot...be...",46,0,0,30,0,91398,0,10,0,0,25968,39952,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,,85,40,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
34,"InstanceContentType#2",0,90,False,"","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunroc/dunroc2d210/dunroc2d210",5578485,34,"Colosseum#0",False,"","","BNpcBase#3642","Defeat Ser Adelphel","What!? No... NO!",43,6000,41000,0,0,188201,1209790,0,0,0,53266,82044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504079,,51,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
35,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_MagicC_02.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunabr/dunabr2d310/dunabr2d310",5615552,35,"Colosseum#0",False,"","","BNpcBase#3434","Clear the history gallery","Repository node system failure imminent.
Disabling reality augmentation protocol.",47,0,0,30,0,93646,0,10,0,0,26531,40889,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,,84,40,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
36,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_IshSebu_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunroc/dunroc2d110/dunroc2d110",5653695,36,"Colosseum#0",False,"","","BNpcBase#3409","Clear the outer training grounds","Clear the keep",40,6000,18000,0,0,112869,772582,0,0,0,32185,49346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321909,,47,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
37,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_DravaniaH_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dundra/dundra2d110/dundra2d110",5777405,37,"Colosseum#0",False,"","","BNpcBase#3798","Defeat Raskovnik","Nidhogg, my beloved...
Avenge me...",41,6000,24000,0,0,150141,893239,0,0,0,42120,65232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372183,,48,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
38,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_MagicC_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunabr/dunabr2d110/dunabr2d110",5783033,38,"Colosseum#0",False,"","","BNpcBase#3823","Clear Analysis and Proving","Assessment complete. Result: Outstanding.
Subject approved for mass production.",45,0,0,100,0,121739,0,60,0,0,18727,31213,43698,0,0,15,30,45,0,0,0,0,0,0,0,0,0,0,0,0,618200,,70,50,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
39,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_DravaniaC_01.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/heavna/heavna33310/heavna33310",5724514,39,"Colosseum#0",False,"","","BNpcBase#3458","Clear the Aery exterior","Tremble at my fury!",42,6000,32000,0,0,170522,1051306,0,0,0,48028,74200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438044,,49,100,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
40,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_Sirius_Lighthouse.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunsea/dunsea1d910/dunsea1d910",5963638,40,"Colosseum#0",False,"","","BNpcBase#4576","Arrive in the fuel chamber","Secure Incubator 66",49,0,0,40,0,89900,0,15,0,0,25594,39328,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,,52,40,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
41,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_botanical_gardens.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dundra/dundra2d410/dundra2d410",6034561,41,"Colosseum#0",False,"","","BNpcBase#4658","Clear Telmatology","Clear the Study",48,0,0,40,0,72670,0,15,0,0,21286,32149,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,,53,40,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
42,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_Komuda2.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunfst/dunfst1d810/dunfst1d810",6159126,140,"Colosseum#0",False,"","","BNpcBase#4747","Unfortunate eggs destroyed","This...cannot...be...
My purpose...is failed...",51,0,0,50,0,78382,0,20,0,0,23104,34763,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,,72,45,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
43,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_DravaniaL_02.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dundra/dundra2d510/dundra2d510",6168797,141,"Colosseum#0",False,"","","BNpcBase#0","Clear the Manifest","",50,0,0,50,0,80069,0,20,0,0,23527,35466,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,,71,45,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
44,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_DravaniaC_02.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dundra/dundra2d610/dundra2d610",6258659,171,"Colosseum#0",False,"","","BNpcBase#4954","Overcome Unsevered Despair","Thou art formidable...
But canst thou endure until the bitter end?",52,0,0,60,0,92710,0,25,0,0,26687,40733,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,,83,45,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
45,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_Hullbreaker_Hard.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunsea/dunsea1da10/dunsea1da10",6245779,172,"Colosseum#0",False,"","","BNpcBase#0","Clear the Hell of Howls","Nothin' gets the blood pumpin' like scrappin' with a pack o' ravenous beasties!",53,0,0,60,0,96080,0,25,0,0,27530,42138,0,0,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,,82,45,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
46,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_Xelphatol.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunroc/dunroc2d310/dunroc2d310",6399476,182,"Colosseum#0",False,"","","BNpcBase#5272","Arrive at the Cage","From wrath of mighty Garuda, reprieve there is not! Squaaawk!",54,0,0,70,0,95575,0,35,0,0,27403,41926,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,,91,45,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
47,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_DravaniaL_04.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dundra/dundra2d710/dundra2d710",6331749,196,"Colosseum#0",False,"","","BNpcBase#5219","Arrive in the Hall of Magicks","1 second until Meteor impact...",55,0,0,70,0,77540,0,35,0,0,22893,34412,0,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,,90,45,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
48,"InstanceContentType#2",0,90,False,"music/ex1/BGM_EX1_Dungeon_Gri_09.scd","music/ffxiv/BGM_System_WinLoop.scd","ex1/dunfst/dunfst1da10/dunfst1da10",6562680,219,"Colosseum#0",False,"","","BNpcBase#5564","Clear all barricades","Imperial identification keys",56,0,0,80,0,84380,0,50,0,0,24970,37455,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,618200,,104,50,"InstanceContentBuff#0","InstanceContent#0",0,-1,0,0,0,0,False,0,0
